266,in-the,1,1,0
267,water.,1,1,0
268,He,1,1,0
269,thought,1,1,0
270,that,1,1,0
271,was,1,1,0
272,the,1,1,0
273,other,1,1,0
274,lion.,1,1,0
275,Without,1,1,0
276,waiting,1,1,0
277,another,1,1,0
278,moment,1,1,1
279,the,1,1,0
280,lion,1,1,0
281,jumped,1,1,0
282,into,1,1,0
283,the,1,1,0
284,well,1,1,0
285,to,1,1,0
286,attack,1,1,1
287,the,1,1,0
288,other,1,1,0
289,lion.,1,1,0
290,He,1,1,0
291,never,1,1,0
292,came,1,1,0
293,out.,1,1,0
294,All,1,1,0
295,of,1,1,0
296,the,1,1,0
297,other,1,1,0
298,animal,1,1,0
299,in,1,1,0
300,the,1,1,0
301,forest,1,1,0
302,were,1,1,0
303,very,1,1,0
304,pleased,1,1,1
305,with,1,1,0
306,the,1,1,0
307,rabbit's,1,1,0
308,clever,1,1,1
309,trick.,1,1,1
310,Mia's,2,1,0
311,father,2,1,0
312,had,2,1,0
313,a,2,1,0
314,laboratory,2,1,1
315,but,2,1,0
316,she,2,1,0
317,had,2,1,0
318,no,2,1,0
319,idea,2,1,0
320,what,2,1,0
321,was,2,1,0
322,in,2,1,0
323,it.,2,1,0
324,Her,2,1,0
325,dad,2,1,0
326,always,2,1,0
327,closed,2,1,0
328,and,2,1,0
329,locked,2,1,0
330,the,2,1,0
331,door,2,1,0
332,when,2,1,0
333,he,2,1,0
334,went,2,1,0
335,in.,2,1,0
336,She,2,1,0
337,knew,2,1,0
338,that,2,1,0
339,he,2,1,0
340,used,2,1,0
341,it,2,1,0
342,to,2,1,0
343,do,2,1,0
344,projects,2,1,1
345,for,2,1,0
346,work.,2,1,0
347,He,2,1,0
348,never,2,1,0
349,told,2,1,0
350,Mia,2,1,0
351,what,2,1,0
352,these,2,1,0
353,projects,2,1,0
354,were.,2,1,0
355,One,2,1,0
356,night,2,1,0
357,Mia,2,1,0
358,approached,2,1,1
359,the,2,1,0
360,door,2,1,0
361,to,2,1,0
362,the,2,1,0
363,laboratory.,2,1,0
364,She,2,1,0
365,stopped,2,1,0
366,and,2,1,0
367,thought,2,1,0
368,I,2,1,0
369,wonder,2,1,0
370,what,2,1,0
371,crazy,2,1,0
372,experiment,2,1,1
373,he,2,1,0
374,is,2,1,0
375,doing,2,1,0
376,now.,2,1,0
377,Suddenly,2,1,0
378,she,2,1,0
379,heard,2,1,0
380,a,2,1,0
381,loud,2,1,1
382,noise.,2,1,1
383,It,2,1,0
384,sounded,2,1,0
385,like,2,1,0
386,an,2,1,0
387,evil,2,1,1
388,laugh.,2,1,1
389,The,2,1,0
390,noise,2,1,0
391,scared,2,1,1
392,her,2,1,0
393,so,2,1,0
394,she,2,1,0
395,walked,2,1,0
396,quickly,2,1,0
397,back,2,1,0
398,to,2,1,0
399,her,2,1,0
400,room.,2,1,0
401,The,2,1,0
402,next,2,1,0
403,night,2,1,0
404,her,2,1,0
405,friend,2,1,0
406,Liz,2,1,0
407,came,2,1,0
408,to,2,1,0
409,her,2,1,0
410,house.,2,1,0
411,When,2,1,0
412,Liz,2,1,0
413,arrived,2,1,0
414,Mia,2,1,0
415,told,2,1,0
416,her,2,1,0
417,about,2,1,0
418,the,2,1,0
419,night,2,1,0
420,before.,2,1,0
421,Oh,2,1,0
422,it,2,1,0
423,was,2,1,0
424,terrible,2,1,1
425,she,2,1,0
426,said.,2,1,0
427,Why,2,1,0
428,don't,2,1,0
429,we,2,1,0
430,see,2,1,0
431,what,2,1,0
432,is,2,1,0
433,in,2,1,0
434,there?,2,1,0
435,Liz,2,1,0
436,asked.,2,1,0
437,It,2,1,0
438,will,2,1,0
439,be,2,1,0
440,a,2,1,0
441,fun,2,1,0
442,adventure!,2,1,1
443,Mia,2,1,0
444,felt,2,1,0
445,nervous,2,1,1
446,about,2,1,0
447,going,2,1,0
448,into,2,1,0
449,her,2,1,0
450,father's,2,1,0
451,laboratory,2,1,0
452,but,2,1,0
453,she,2,1,0
454,agreed.,2,1,0
455,As,2,1,0
456,always,2,1,0
457,the,2,1,0
458,door,2,1,0
459,was,2,1,0
460,locked.,2,1,0
461,They,2,1,0
462,waited,2,1,0
463,until,2,1,0
464,Mia's,2,1,0
465,father,2,1,0
466,left,2,1,0
467,the,2,1,0
468,laboratory,2,1,0
469,to,2,1,0
470,eat,2,1,0
471,dinner.,2,1,0
472,He,2,1,0
473,didn't,2,1,0
474,lock,2,1,0
475,the,2,1,0
476,door!,2,1,0
477,Liz,2,1,0
478,said.,2,1,0
479,Let's,2,1,0
480,go.,2,1,0
481,The,2,1,0
482,laboratory,2,1,0
483,was,2,1,0
484,dark.,2,1,0
485,The,2,1,0
486,girls,2,1,0
487,walked,2,1,0
488,down,2,1,0
489,the,2,1,0
490,stairs,2,1,0
491,carefully.,2,1,1
492,Mia,2,1,0
493,smelled,2,1,1
494,strange,2,1,0
495,chemicals.,2,1,1
496,What,2,1,0
497,terrible,2,1,0
498,thing,2,1,0
